date,open,high,low,close,volume,macd,macds,macdh,boll,boll_ub,boll_lb,trix,volume_delta,middle,cr,rsv_9,kdjk,kdjd,kdjj,rsi_6,rsi_12,wr_10,wr_6,cci,tr,atr,dma,high_delta,low_delta,pdi,mdi,dx,adx,adxr,change,vr,direction_up,direction_down,direction
1980-12-29,36,36.13,36,36,415900,0.913351905,0.408782168,1.009139475,29.68272727,37.04391789,22.32153666,0.753021014,167800,36.04333333,318.6976744,98.80514706,91.19871014,77.21794075,119.1602489,89.7140418,83.28754509,1.194852941,1.649746193,143.4701843,0.63,1.54787733,0.093272727,0.51,0.5,78.86357427,11.41208165,74.71725564,61.40255718,55.96204549,1.408450704,173.8466433,0,1,-0.024444444
1980-12-30,35.25,35.25,35.12,35.12,307500,1.007862183,0.53743943,0.940845505,30.13583333,37.82450485,22.44716182,0.95661449,-108400,35.16333333,253.4023669,90.15594542,90.8511219,81.76233446,109.0286968,78.44151553,76.03699226,9.283088235,15.53846154,103.2130073,0.88,1.462298248,0.427166667,-0.88,-0.88,69.91231985,19.89684712,55.69083247,59.72931682,57.06566143,-2.444444444,139.6817281,0,1,-0.028189066
1980-12-31,34.25,34.25,34.13,34.13,159600,1.008660571,0.637166196,0.742988752,30.44307692,38.13060528,22.75554856,1.082147742,-147900,34.17,206.1371841,78.94736842,86.88320407,83.469291,93.71103022,67.06541954,68.69739222,19.49317739,38.0952381,74.37486566,0.99,1.405027544,1.007923077,-1,-0.99,61.27235794,28.56430427,36.4083581,52.94654735,55.8676403,-2.818906606,126.7528852,1,0,0.010840902
1981-01-02,34.5,34.75,34.5,34.5,96700,1.017601564,0.716753558,0.60169601,30.73285714,38.43055481,23.03515947,1.156644203,-62900,34.58333333,216.6064982,79.31472081,84.36037632,83.76631944,85.54849008,69.07673586,69.88266706,17.15789474,44.90358127,75.50957746,0.62,1.314353775,1.581142857,0.5,0.37,61.26756323,25.82883813,40.68908078,49.39972772,53.99608559,1.084090243,132.3609581,0,1,-0.02173913
1981-01-05,33.87,33.87,33.75,33.75,159500,0.96685457,0.76859787,0.396513399,30.934,38.51355068,23.35444932,1.179293088,62800,33.79,188.2845188,63.38461538,77.36845601,81.6336983,68.83797143,60.14262376,64.48340269,30.20304569,100,51.8683874,0.75,1.251920465,2.092,-0.88,-0.75,54.61138225,32.06777121,26.00811168,42.65571765,50.72655708,-2.173913043,121.1540503,0,1,-0.044444444
1981-01-06,32.37,32.37,32.25,32.25,201600,0.82522125,0.78025054,0.089941421,31.01625,38.36829597,23.66420403,1.143761885,42100,32.29,151.642797,26.0952381,60.27738337,74.51492665,31.8022968,45.89615736,55.18140126,59.69230769,100,16.79291033,1.5,1.27832977,2.40975,-1.5,-1.5,45.54821213,44.15493265,1.5532114,30.83616774,45.00682193,-4.444444444,109.4418337,0,1,-0.04248062
1981-01-07,31,31,30.88,30.88,248600,0.622183335,0.747908828,-0.251450986,31.00823529,38.12713,23.88934059,1.05526948,47000,30.92,128.7093314,0,40.18492225,63.07159185,-5.588416963,36.43655899,48.24689292,100,100,-23.94408613,1.37,1.287758277,2.542764706,-1.37,-1.37,38.60584694,52.97505835,15.69018276,26.48878259,39.69154865,-4.248062016,97.78491859,0,1,-0.020401554
1981-01-08,30.37,30.37,30.25,30.25,177800,0.419329646,0.680987443,-0.523315595,30.96611111,37.88169671,24.05052551,0.932509863,-70800,30.29,120.0800534,0,26.78994816,50.97771062,-21.58557675,32.71561841,45.38567899,100,100,-54.28144722,0.63,1.222167353,2.521888889,-0.63,-0.63,34.8073484,55.20183661,22.65823005,25.39073784,35.59215826,-2.04015544,90.86312605,1,0,0.053884298
1981-01-09,31.88,32,31.88,31.88,96000,0.362896827,0.61643908,-0.507084506,31.01421053,37.74802013,24.28040092,0.819656559,-81800,31.92,137.191461,27.72108844,27.10032825,43.01858317,-4.736181569,48.91326238,53.21653102,72.27891156,63.77777778,-22.35446997,1.75,1.273354147,2.411789474,1.63,1.63,46.91204335,45.41967648,1.616310045,18.58209436,30.72072827,5.388429752,94.68508639,0,1,-0.008155583
1981-01-12,31.88,31.88,31.62,31.62,105800,0.298074288,0.55202346,-0.507898345,31.0445,37.60430576,24.48469424,0.71387656,9800,31.70666667,133.1930052,27.4,27.20021884,37.74579506,6.109066396,46.7586624,51.92108144,76.70068027,62.15469613,-42.29245453,0.26,1.177531663,1.9935,-0.12,-0.26,43.55558954,45.29246944,1.954887834,13.82350149,25.88485744,-0.815558344,90.8580379,0,1,-0.03542062
